pdb_id,label,chain_id,AF_average_pLDDT,OF_average_pLDDT,EF_average_pLDDT,AF_TM_score,OF_TM_score,EF_TM_score,AF_RMSD,OF_RMSD,EF_RMSD,AF_GDT_TS,OF_GDT_TS,EF_GDT_TS
8P0E,monomer,8P0E:A,93.10894736842106,93.53536842105264,89.26315789473685,0.9666869769771848,0.9674585147300848,0.9828245722702889,1.7576797437634333,1.7382755524054234,0.7036247828899741,96.60326086956522,96.46739130434783,97.82608695652173
8PX8,monomer,8PX8:A,95.91408695652174,95.60921739130434,95.14782608695651,0.9950114238815264,0.9957396906910438,0.9895336098376044,0.2758439557982687,0.2531931298792065,0.7063699927208875,100.0,100.0,99.31818181818181
8B2E,monomer,8B2E:A,97.6365034965035,97.13608391608392,94.76223776223776,0.991946074092973,0.9794138039149148,0.9909900703949404,0.4006987684377841,0.6686448021981796,0.4252922886531641,99.822695035461,97.51773049645391,99.46808510638297
8HOE,monomer,8HOE:A,93.57719576719576,79.55439153439153,89.6137566137566,0.9883599900945688,0.8638539485188151,0.976008316733922,0.5648696942331684,2.354327737834836,0.8346589480128168,98.28571428571429,76.85714285714286,96.71428571428571
8TCE,monomer,8TCE:A,90.25212765957448,89.15968085106383,86.18085106382979,0.9385424840618044,0.9207845753059366,0.9208082047656334,1.805851873150964,2.571246707107577,2.6178925949994354,94.82758620689656,93.96551724137932,93.39080459770113
8SSX,monomer,8SSX:A,97.87524691358024,96.68833333333332,94.01234567901234,0.8688614832636483,0.8670800722885833,0.868486373859376,2.2787022550388585,2.2841196395470016,2.287697202145249,79.01234567901234,78.7037037037037,79.32098765432099
8PJS,monomer,8PJS:A,96.577,90.96825,94.17857142857142,0.9951584714233076,0.964340343961134,0.9954208638417672,0.4341795790064219,1.424494804415816,0.4230402174641818,99.27272727272728,93.54545454545455,99.36363636363636
8J3N,monomer,8J3N:A,93.77842696629212,90.3547191011236,86.69662921348315,0.2830274032729611,0.2846199659262833,0.2846781031104553,14.36836730708854,14.071575360280752,13.93666012373038,28.651685393258425,28.932584269662925,28.651685393258425
8SHY,monomer,8SHY:C,93.14975274725276,88.3303021978022,83.32417582417582,0.9604901856412832,0.9457402541188744,0.9400231787265632,1.6041892341787365,1.8036703081858707,1.97983172562517,89.69359331476323,84.05292479108635,83.14763231197772
8OE5,monomer,8OE5:A,98.27988679245284,97.37101886792452,94.61132075471696,0.9806880772850276,0.9793927169085176,0.9809630725372904,1.1124671869048948,1.1393008192437768,1.0524392876459334,96.88679245283018,96.69811320754717,96.79245283018868
8WXP,monomer,8WXP:A,93.97884146341464,91.92786585365852,89.03658536585365,0.9563043042761504,0.9625232507320872,0.9649650457606695,5.759179608489734,5.7552693935223935,5.718858407012821,38.782051282051285,39.1025641025641,38.94230769230769
8GRV,monomer,8GRV:A,90.97027322404372,91.41073770491803,94.57377049180327,0.9828218817124452,0.940587920705036,0.96585124072661,0.9994247479722944,1.76613971758348,1.35905783249509,94.19642857142857,84.44940476190476,87.79761904761905
8T7K,monomer,8T7K:A,98.06371794871797,82.83903846153846,86.23717948717949,0.987297967713484,0.7877244885742032,0.9364625108505064,0.532824701073746,5.608857289550201,1.4876588013022063,99.19871794871796,61.53846153846155,90.22435897435898
8IIT,monomer,8IIT:A,97.21941747572816,92.2402427184466,92.36893203883496,0.9842381616621998,0.9565282180923432,0.9770812836090024,0.8865693065629158,1.4715153866930983,1.0626273040279723,98.66504854368932,93.81067961165049,96.96601941747574
8EFG,monomer,8EFG:A,98.09962711864408,97.19637288135591,94.50847457627118,0.9935519121121024,0.9946118086843876,0.9954057475285808,0.5982444505612636,0.4680429633731967,0.4305850055215072,99.15254237288136,99.66101694915254,99.83050847457628
8CB3,monomer,8CB3:A,97.49850574712644,94.33666666666667,93.67241379310344,0.9551971354469064,0.9047830147065932,0.9470105150281256,1.4106610231873735,5.27488163906611,1.5880999945368803,94.94219653179191,89.01734104046241,93.78612716763006
8YTN,monomer,8YTN:A,90.55032258064516,89.86774193548388,77.81854838709677,0.9856674006419264,0.9783025036918176,0.9554657088084252,0.8854998777318638,1.019372434482069,1.4384996433272546,98.38362068965517,96.875,91.37931034482759
8HKB,monomer,8HKB:A,93.12124590163934,93.51354098360656,89.52786885245901,0.9627630884745256,0.8148446316206714,0.7945934450454073,1.9815189427577484,3.7241615319754464,4.310090309485752,89.98344370860926,70.19867549668874,67.05298013245033
8U5F,monomer,8U5F:A,86.12002873563219,40.05341954022988,65.66666666666666,0.989898092271878,0.3220555790866318,0.4736295939459216,0.648037529124668,17.342516276931764,22.4716537415119,98.7719298245614,27.982456140350877,40.6140350877193
8XPN,monomer,8XPN:A,92.10535809018567,87.52352785145888,88.57824933687003,0.9803024790538922,0.9624963575715568,0.9629079596673468,1.0259867414241504,1.6278642411864088,1.4587976213204576,94.79472140762464,90.24926686217009,91.0557184750733
8EP6,monomer,8EP6:A,97.57643724696356,96.46307692307693,93.80161943319838,0.9425653928852474,0.9357843792600264,0.935471296803484,15.210743561570236,15.253382738984282,15.23436894903472,10.408163265306122,9.795918367346939,10.102040816326532
